the																	
be	am	m	is	isn	s	are	re	aren	ain	been	was	wasn	were	weren	being	bein	beings
world	worlds																
week	weeks																
play	plays	played	playing														
might	mightn	mighta															
must	mustn	musta															
home	homes	homed	homing														
never																	
include	includes	included	including														
course	courses	coursed	coursing														
house	houses	housed	housing	housings													
report	reports	reported	reporting														
group	groups	grouped	grouping														
case	cases	cased	casing	casings													
woman	women																
around																	
book	books	booked	booking	bookings													
family	families																
seem	seems	seemed	seeming														
let	lets	letting	lemme	lettings													
again																	
kind	kinds	kinder	kindest														
keep	keeps	keeping	kept														
hear	hears	heard	hearing	hearings													
system	systems																
every																	
question	questions	questioned	questioning	questionings													
during																	
always																	
big	bigger	biggest															
set	sets	setting	settings														
small	smaller	smallest															
study	studies	studied	studying														
follow	follows	followed	following	followings													
begin	begins	began	beginning	begun	beginnings												
important																	
since																	
run	runs	ran	running														
under																	
turn	turns	turned	turning														
few	fewer	fewest															
bring	brings	brought	bringing														
early	earlier	earliest															
hand	hands	handed	handing														
state	states	stated	stating														
move	moves	moved	moving														
money	moneys																
fact	facts																
area	areas																
provide	provides	provided	providing														
name	names	named	naming														
read	reads	reading	readings														
friend	friends																
month	months																
large	larger	largest															
business	businesses																
without																	
information																	
open	opens	opened	opening	openings													
order	orders	ordered	ordering														
government	governments																
word	words	worded	wording	wordings													
issue	issues	issued	issuing														
market	markets	marketed	marketing														
pay	pays	paid	paying														
build	builds	building	buildings	built													
hold	holds	held	holding	holdings													
service	services	serviced	servicing														
against																	
believe	believes	believed	believing														
second	seconds	seconded	seconding	sec													
though																	
yes	yeses																
love	loves	loved	loving														
increase	increases	increased	increasing														
job	jobs	jobbing															
plan	plans	planned	planning														
result	results	resulted	resulting														
away																	
example	examples																
happen	happens	happened	happening	happenings													
offer	offers	offered	offering	offerings													
young	younger	youngest															
close	closes	closed	closing	closer	closest												
program	programs	programmed	programming	programme	programmes	programed	programing										
lead	leads	led	leading														
buy	buys	bought	buying														
understand	understands	understood	understanding	understandings													
thank	thanks	thanked	thanking														
far	farther	farthest															
today																	
hour	hours																
student	students																
face	faces	faced	facing														
hope	hopes	hoped	hoping														
idea	ideas																
cost	costs	costing															
less																	
room	rooms	roomed	rooming														
until	til																
reason	reasons	reasoned	reasoning														
form	forms	formed	forming														
spend	spends	spending	spent														
head	heads	headed	heading	headings													
car	cars																
learn	learns	learned	learning	learnt													
level	levels	leveled	leveling	levelled	levelling												
person	persons																
experience	experiences	experienced	experiencing														
once																	
member	members																
enough																	
bad	worse	worst	baddest														
city	cities																
night	nights																
able	abler	ablest															
support	supports	supported	supporting														
whether																	
line	lines	lined	lining														
present	presents	presented	presenting														
side	sides	sided	siding	sidings													
quite																	
although																	
sure	surer	surest															
term	terms	termed	terming														
least																	
age	ages	aged	aging	ageing													
low	lows	lowed	lowing	lower	lowest	lowers	lowered	lowering									
speak	speaks	spoke	speaking	spoken													
within																	
process	processes	processed	processing														
public	publics																
often																	
train	trains	trained	training	trainings													
possible																	
actually																	
rather																	
view	views	viewed	viewing														
together																	
consider	considers	considered	considering														
price	prices	priced	pricing	pricings													
parent	parents	parented	parenting														
hard	harder	hardest															
party	parties	partied	partying														
local	locals																
control	controls	controlled	controlling														
already																	
concern	concerns	concerned	concerning														
product	products																
lose	loses	lost	losing														
story	stories	storied	storey	storys													
almost																	
continue	continues	continued	continuing														
stand	stands	stood	standing														
whole	wholes																
yet																	
rate	rates	rated	rating	ratings													
care	cares	cared	caring														
expect	expects	expected	expecting														
effect	effects	effected	effecting														
sort	sorts	sorted	sorting														
ever																	
anything																	
cause	causes	caused	causing														
fall	falls	fell	falling	fallen													
deal	deals	dealing	dealt														
water	waters	watered	watering														
send	sends	sending	sent														
allow	allows	allowed	allowing														
soon	sooner	soonest															
watch	watches	watched	watching														
base	bases	based	basing	baser	basest												
probably																	
suggest	suggests	suggested	suggesting														
past																	
power	powers	powered	powering														
test	tests	tested	testing														
visit	visits	visited	visiting														
center	centers	centered	centering	centre	centres	centred											
grow	grows	grew	growing	grown													
nothing																	
mother	mothers	mothered	mothering														
walk	walks	walked	walking														
matter	matters	mattered	mattering														
mind	minds	minded	minding														
value	values	valued	valuing														
office	offices																
record	records	recorded	recording	recordings													
stay	stays	stayed	staying														
force	forces	forced	forcing														
stop	stops	stopped	stopping														
several																	
light	lights	lighted	lit	lighting	lightest												
develop	develops	developed	developing														
remember	remembers	remembered	remembering														
bit	bits	bitted															
share	shares	shared	sharing														
real	realer																
answer	answers	answered	answering														
sit	sits	sat	sitting														
figure	figures	figured	figuring														
letter	letters	lettering	letterings														
decide	decides	decided	deciding														
language	languages																
subject	subjects	subjected	subjecting														
class	classes	classed	classing														
development	developments																
town	towns																
half	halves	halved	halving														
minute	minutes																
food	foods																
break	breaks	broke	breaking	broken													
clear	clears	cleared	clearing	clearer	clearest												
future	futures																
either																	
ago																	
per																	
top	tops	topped	topping	toppings													
win	wins	winning	winnings														
color	colors	colored	coloring	colorings	colour	colours	coloured	colouring									
involve	involves	involved	involving														
period	periods																
across																	
note	notes	noted	noting														
create	creates	created	creating														
drive	drives	drove	driving	driven													
along																	
type	types	typed	typing														
sound	sounds	sounded	sounding														
eye	eyes	eyed	eyeing														
music																	
game	games	gamed	gaming														
free	frees	freed	freeing	freer	freest												
receive	receives	received	receiving														
moment	moments																
sale	sales																
policy	policies																
further	furthers	furthered	furthering														
body	bodies	bodied	bodying														
require	requires	required	requiring														
wait	waits	waited	waiting														
general	generals																
toward	towards																
team	teams	teamed	teaming														
easy	easier	easiest															
individual	individuals																
full	fuller	fullest															
black	blacks	blacked	blacking	blacker	blackest												
sense	senses	sensed	sensing														
perhaps																	
add	adds	added	adding														
rule	rules	ruled	ruling	rulings													
pass	passes	passed	passing														
produce	produces	produced	producing														
sell	sells	sold	selling														
short	shorts	shorted	shorting	shorter	shortest												
agree	agrees	agreed	agreeing														
law	laws																
everything																	
research	researches	researched	researching														
cover	covers	covered	covering	coverings													
paper	papers	papered	papering														
position	positions	positioned	positioning														
near	nears	neared	nearing	nearer	nearest												
computer	computers																
situation	situations																
staff	staffs	staffed	staffing														
morning	mornings																
war	wars	warred	warring														
account	accounts	accounted	accounting														
shop	shops	shopped	shopping														
major	majors	majored	majoring														
someone																	
special	specials																
sometimes																	
carry	carries	carried	carrying														
choose	chooses	chose	choosing	chosen													
father	fathers	fathered	fathering														
decision	decisions																
table	tables	tabled															
certain																	
forward	forwards	forwarded	forwarding														
main																	
die	dies	died	dying														
bear	bears	bearing	borne	bearings													
cut	cuts	cutting	cuttings														
available																	
especially																	
strong	stronger	strongest															
girl	girls																
maybe																	
community	communities																
else																	
particular	particulars																
difficult																	
please	pleases	pleased	pleasing														
detail	details	detailed	detailing														
difference	differences	differenced	differencing														
action	actions																
health																	
eat	eats	ate	eating	eaten													
step	steps	stepped	stepping														
true	trues	trued	truing	truer	truest												
phone	phones	phoned	phoning														
themselves																	
draw	draws	drew	drawing	drawn	drawings												
white	whiter	whitest	whites														
date	dates	dated	dating														
raise	raises	raised	raising	raisings													
front	fronts	fronted	fronting														
explain	explains	explained	explaining														
door	doors																
outside	outsides																
behind																	
site	sites	sited															
teacher	teachers																
land	lands	landed	landing	landings													
charge	charges	charged	charging														
sign	signs	signed	signing														
relationship	relationships																
travel	travels	traveled	traveling	travelled	travelling												
enjoy	enjoys	enjoyed	enjoying														
nice	nicer	nicest															
amount	amounts	amounted															
picture	pictures	pictured	picturing														
boy	boys																
happy	happier	happiest															
couple	couples	coupled	coupling														
quality	qualities																
project	projects	projected	projecting														
round	rounds	rounded	rounding	rounder	roundest												
opportunity	opportunities																
road	roads																
list	lists	listed	listing	listings													
wish	wishes	wished	wishing														
therefore																	
wear	wears	wore	wearing	worn													
fund	funds	funded	funding														
rest	rests	rested	resting														
kid	kids	kidded	kidding														
education	educations																
kill	kills	killed	killing	killings													
certainly																	
national	nationals																
itself																	
teach	teaches	taught	teaching	teachings													
air	airs	aired	airing														
benefit	benefits	benefited	benefiting	benefitted	benefitting												
trade	trades	traded	trading														
news																	
standard	standards																
vote	votes	voted	voting														
percent	percents																
focus	focuses	focused	focusing	focussed	focuss	focusses	focussing										
stage	stages	staged	staging														
instead																	
realize	realizes	realized	realizing	realise	realises	realised	realising										
usually																	
single	singles	singled	singling														
address	addresses	addressed	addressing														
chance	chances	chanced	chancing														
accept	accepts	accepted	accepting														
mention	mentions	mentioned	mentioning														
choice	choices	choicer	choicest														
save	saves	saved	saving	savings													
listen	listens	listened	listening														
wrong	wrongs	wronged	wronging														
foot	foots	footed	footing	feet													
effort	efforts																
check	checks	checked	checking														
pick	picks	picked	picking														
fine	fines	fined	fining	finer	finest												
street	streets																
contact	contacts	contacted	contacting														
particularly																	
wife	wives																
discuss	discusses	discussed	discussing														
response	responses																
piece	pieces	pieced	piecing														
finish	finishes	finished	finishing														
suppose	supposes	supposed	supposing														
apply	applies	applied	applying														
fire	fires	fired	firing	firings													
police	polices	policed	policing														
laugh	laughs	laughed	laughing														
surprise	surprises	surprised	surprising														
pretty	pretties	prettying	prettier	prettiest													
affect	affects	affected	affecting														
drop	drops	dropped	dropping														
relate	relates	related	relating														
miss	misses	missed	missing														
pause	pauses	paused	pausing														
everyone																	
forget	forgets	forgot	forgetting	forgotten													
page	pages	paged	paging														
worry	worries	worried	worrying														
summer	summers	summered															
drink	drinks	drank	drinking														
park	parks	parked	parking														
notice	notices	noticed	noticing														
wonder	wonders	wondered	wondering	wonderings													
myself																	
exactly																	
press	presses	pressed	pressing	pressings													
whatever																	
evening	evenings																
various																	
catch	catches	caught	catching														
bed	beds	bedded	bedding	beddings													
hit	hits	hitting															
fit	fits	fitted	fitting	fitter	fittest	fittings											
guy	guys	guyed	guying														
yesterday	yesterdays																
size	sizes	sized	sizing														
comment	comments	commented	commenting														
tomorrow	tomorrows																
review	reviews	reviewed	reviewing														
depend	depends	depended	depending														
window	windows	windowed	windowing														
purpose	purposes	purposed	purposing														
college	colleges																
board	boards	boarded	boarding														
holiday	holidays	holidayed	holidaying														
church	churches	churched	churching														
machine	machines	machined	machining														
item	items																
floor	floors	floored	flooring	floorings													
stuff	stuffs	stuffed	stuffing														
anyone																	
movie	movies																
doctor	doctors	doctored	doctoring														
discussion	discussions																
sorry	sorrier	sorriest															
statement	statements																
ready	readies	readied	readying	readier	readiest												
marry	marries	married	marrying														
mile	miles																
card	cards	carded	carding														
hospital	hospitals																
tax	taxes	taxed	taxing														
specific	specifics																
degree	degrees																
pull	pulls	pulled	pulling														
red	reds	redder	reddest														
husband	husbands	husbanded	husbanding														
shall																	
bus	buses	bused	busing														
yourself	yourselves																
worth																	
brother	brothers																
score	scores	scored	scoring	scorings													
sleep	sleeps	slept	sleeping														
trouble	troubles	troubled	troubling														
middle	middles	middled	middling														
clean	cleans	cleaned	cleaning	cleanings													
tend	tends	tended	tending														
fill	fills	filled	filling	fillings													
throw	throws	threw	throwing	thrown													
box	boxes	boxed	boxing														
cold	colder	coldest	colds														
push	pushes	pushed	pushing														
baby	babies	babied	babying														
sing	sings	sang	singing	sung													
document	documents	documented	documenting														
hot	hots	hotter	hottest														
obviously																	
unclear																	
bill	bills	billed	billing														
anyway	anyways																
dog	dogs	dogged	dogging														
guess	guesses	guessed	guessing														
fun																	
hair	hairs	haired															
imagine	imagines	imagined	imagining	imaginings													
okay	okays	okayed	okaying	ok													
clock	clocks	clocked	clocking														
everybody																	
weekend	weekends	weekending															
mine	mines	mined	mining														
ring	rings	ringed	rang	ringing	rung												
afternoon	afternoons																
completely																	
sister	sisters																
dollar	dollars																
ahead																	
yeah																	
conversation	conversations																
somebody																	
pound	pounds	pounded	pounding	poundings													
unless																	
stick	sticks	stuck	sticking														
budget	budgets	budgeted	budgeting														
correct	corrects	corrected	correcting														
copy	copies	copied	copying														
committee	committees																
aware																	
text	texts																
extra	extras																
straight	straighter	straightest															
wonderful																	
absolutely																	
fair	fairs	faired	fairing	fairer	fairest												
hang	hangs	hung	hanging	hanged	hangings												
cheap	cheaper	cheapest															
nobody	nobodies																
dinner	dinners																
cool	cools	cooled	cooling	coolest													
quick	quicker	quickest															
funny	funnier	funniest															
bottom	bottoms	bottomed	bottoming														
bag	bags	bagged	bagging														
plus	pluses																
lady	ladies																
brief	briefs	briefed	briefing	briefer	briefest	briefings											
somewhere																	
tape	tapes	taped	taping														
hate	hates	hated	hating														
totally																	
dear	dears	dearer	dearest														
tonight																	
council	councils																
normally																	
anybody																	
basically																	
noise	noises																
load	loads	loaded	loading														
fairly																	
ought	oughtn	oughta	outta														
definitely																	
grade	grades	graded	grading														
till	tills	tilled	tilling														
tea	teas																
lovely	lovelier	loveliest															
breath	breaths																
dad	dads	daddy	daddies														
bother	bothers	bothered	bothering														
mathematics	mathematic	math	maths														
bet	bets	betted	betting														
laughter																	
awful																	
bloody	bloodies	bloodied	bloodying	bloodier	bloodiest												
cough	coughs	coughed	coughing														
alright																	
